region,type,base_flow,peak_flow,surge_pct,heat,note,source,label,as_of
江苏,province,100,300,200,hot,国庆第1热门省份；盐城/南京/苏州。盐城属其中低人流点。,https://huacheng.gz-cmc.com/pages/2026/08/14/70f03638755d41c1a5a2288d145b3f32.html,[report-estimate],2026-08-14
浙江,province,100,280,180,hot,杭州/湖州/松阳；周边热门但松阳村落安静。,,[report-estimate],2026-08
四川,province,100,290,190,hot,成都/九寨沟；成都为驾车热门第1。,,[report-estimate],2026-08
北京,province,100,350,250,hot,故宫/国博核心；全国最挤。,,[report-estimate],2026-08
上海,province,100,330,230,hot,出发地也是第2拥挤城市；外滩/迪士尼日均7.8万。https://difang.gmw.cn/sh/2026-08/04/content_38925372.htm,[official-data],2026-08-04
新疆·内蒙·甘青,province,100,320,220,hot,长线秋色热；阿勒泰/呼伦贝尔/喀纳斯。,,[report-estimate],2026-08
陕西,province,100,300,200,hot,西安；大雁塔/兵马俑。,,[report-estimate],2026-08
云南,province,100,270,170,hot,腾冲/建水/大理/丽江；腾冲属低-中人流。https://tengchong.gov.cn/info/1014/5746043.htm,[official-data],2025-10-13
山东,province,100,250,150,warm,威海/青岛/济南；威海人流低(入住率~52%)。http://www.huancui.gov.cn/art/2025/10/9/art_64374_5845966.html,[official-data],2025-10-09
广东,province,100,260,160,warm,广州；高人流。,,[report-estimate],2026-08
福建,province,100,240,140,warm,泉州/平潭；泉州世遗+簪花围营销热。,,[report-estimate],2026-08
山西,province,100,230,130,warm,大同/平遥；云冈单日峰值7万。https://www.sxfzb.com/index.php/index/article/show/id/144888/cid/384/lanmu/384.html,[official-data],2025-10-10
广西,province,100,240,140,warm,阳朔/崇左；崇左2025受台风影响。http://www.chongzuo.gov.cn/dtxx/zwdt/t26038102.shtml,[official-data],2025-10-11
安徽,province,100,220,120,cool,黄山/宏村；人多。,,[report-estimate],2026-08
贵州,province,100,210,110,cool,安吉/黄果树；相对低。,,[report-estimate],2026-08
韩国,country,100,260,160,hot,Airbnb出境热度#2；首尔/济州(济州免签)。https://news.airbnb.com/zh/airbnb爱彼迎发布《2026年超级黄金周出境游趋势报告》,[report-estimate],2026-08-24
泰国,country,100,250,150,hot,热度#7；曼谷/清迈/普吉。清迈平季较静、免签30天。https://th.china-embassy.gov.cn/sgxw/202609/t20260902_12014753.html,[official-data],2026-09-02
印尼,country,100,240,140,hot,热度#9；巴厘岛落地签/电子签。https://news.airbnb.com/zh/,[report-estimate],2026-08-24
新加坡,country,100,230,130,warm,免签30天；高人流。https://shanghai.mfa.gov.sg/consular-services/visa-information/,[official-data],2026-08-11
日本,country,100,220,120,warm,热度#5但趋缓(中日摩擦)；东京/关西/北海道(札幌平季较静)。,[report-estimate],2026-08-24
越南,country,100,210,110,warm,搜索+30%；芽庄/岘港；90天电子签。,[report-estimate],2026-08-24
马来西亚,country,100,200,100,cool,吉隆坡热/槟城较静；免签30天。https://www.fragomen.com/insights/malaysia-visa-exemption-implemented-for-chinese-and-indian-nationals.html,[report-estimate],2026-02-17
哈萨克斯坦,country,100,130,30,cool,阿拉木图；免签30天；极冷门。https://almaty.china-consulate.gov.cn/chn/lsfw/lszj/qzyw/202606/t20260604_11937718.htm,[official-data],2026-06-04
蒙古,country,100,120,20,cool,乌兰巴托；K2电子签；极冷门。https://www.travelarbitrage.net/blog/mongolia-visa-official-guide-2026,[report-estimate],2026-08-30
